state_id,description,battery_level,threat_status,mission_criticality,expert_choice,agent_choice,expert_agreement,reward,power_consumption,security_level,power_efficiency_score,security_appropriateness_score,overall_performance
0,CRITICAL+NORMAL+ROUTINE,CRITICAL,NORMAL,ROUTINE,HIGHT,SPECK,0,3.603879429212095,5.8,3,0.3448275862068966,8,3.603879429212095
1,CRITICAL+NORMAL+IMPORTANT,CRITICAL,NORMAL,IMPORTANT,HIGHT,SPECK,0,4.187362121149729,5.8,3,0.3448275862068966,8,4.187362121149729
2,CRITICAL+CONFIRMING+ROUTINE,CRITICAL,CONFIRMING,ROUTINE,KYBER,KYBER,1,4.1867244096530065,6.2,8,0.3225806451612903,6,4.1867244096530065
3,CRITICAL+CONFIRMING+IMPORTANT,CRITICAL,CONFIRMING,IMPORTANT,KYBER,KYBER,1,4.183654328921474,6.2,8,0.3225806451612903,6,4.183654328921474
4,CRITICAL+CONFIRMED+ROUTINE,CRITICAL,CONFIRMED,ROUTINE,FALCON,FALCON,1,1.8119049750963376,7.1,8,0.28169014084507044,10,1.8119049750963376
5,CRITICAL+CONFIRMED+IMPORTANT,CRITICAL,CONFIRMED,IMPORTANT,FALCON,FALCON,1,1.7963987030117239,7.1,8,0.28169014084507044,10,1.7963987030117239
6,LOW+NORMAL+ROUTINE,LOW,NORMAL,ROUTINE,KYBER,KYBER,1,3.0109348217295944,6.2,8,0.6451612903225806,3,3.0109348217295944
7,LOW+NORMAL+IMPORTANT,LOW,NORMAL,IMPORTANT,KYBER,KYBER,1,3.0133489670534335,6.2,8,0.6451612903225806,3,3.0133489670534335
8,LOW+CONFIRMING+ROUTINE,LOW,CONFIRMING,ROUTINE,KYBER,KYBER,1,3.402026845391053,6.2,8,0.6451612903225806,6,3.402026845391053
9,LOW+CONFIRMING+IMPORTANT,LOW,CONFIRMING,IMPORTANT,DILITHIUM,DILITHIUM,1,3.4038298876130946,6.5,8,0.6153846153846154,6,3.4038298876130946
10,LOW+CONFIRMED+ROUTINE,LOW,CONFIRMED,ROUTINE,FALCON,DILITHIUM,0,2.6091667172155972,6.5,8,0.6153846153846154,10,2.6091667172155972
11,LOW+CONFIRMED+IMPORTANT,LOW,CONFIRMED,IMPORTANT,FALCON,FALCON,1,2.5944031498947457,7.1,8,0.5633802816901409,10,2.5944031498947457
12,MEDIUM+NORMAL+ROUTINE,MEDIUM,NORMAL,ROUTINE,DILITHIUM,DILITHIUM,1,3.395961238239037,6.5,8,0.9230769230769231,3,3.395961238239037
13,MEDIUM+NORMAL+IMPORTANT,MEDIUM,NORMAL,IMPORTANT,DILITHIUM,DILITHIUM,1,3.3880068674835395,6.5,8,0.9230769230769231,3,3.3880068674835395
14,MEDIUM+CONFIRMING+ROUTINE,MEDIUM,CONFIRMING,ROUTINE,DILITHIUM,DILITHIUM,1,3.791468671238287,6.5,8,0.9230769230769231,6,3.791468671238287
15,MEDIUM+CONFIRMING+IMPORTANT,MEDIUM,CONFIRMING,IMPORTANT,SPHINCS,SPHINCS,1,3.7859168461189507,6.8,8,0.8823529411764706,6,3.7859168461189507
16,MEDIUM+CONFIRMED+ROUTINE,MEDIUM,CONFIRMED,ROUTINE,FALCON,FALCON,1,3.785585971961745,7.1,8,0.8450704225352114,10,3.785585971961745
17,MEDIUM+CONFIRMED+IMPORTANT,MEDIUM,CONFIRMED,IMPORTANT,FALCON,FALCON,1,3.8217879258956096,7.1,8,0.8450704225352114,10,3.8217879258956096
18,GOOD+NORMAL+ROUTINE,GOOD,NORMAL,ROUTINE,SPHINCS,SPHINCS,1,3.402131435894656,6.8,8,1.1764705882352942,3,3.402131435894656
19,GOOD+NORMAL+IMPORTANT,GOOD,NORMAL,IMPORTANT,SPHINCS,SPHINCS,1,3.406405261529063,6.8,8,1.1764705882352942,3,3.406405261529063
20,GOOD+CONFIRMING+ROUTINE,GOOD,CONFIRMING,ROUTINE,SPHINCS,SPHINCS,1,3.793730959454178,6.8,8,1.1764705882352942,6,3.793730959454178
21,GOOD+CONFIRMING+IMPORTANT,GOOD,CONFIRMING,IMPORTANT,FALCON,FALCON,1,4.189094402032078,7.1,8,1.1267605633802817,6,4.189094402032078
22,GOOD+CONFIRMED+ROUTINE,GOOD,CONFIRMED,ROUTINE,FALCON,FALCON,1,4.597113749501281,7.1,8,1.1267605633802817,10,4.597113749501281
23,GOOD+CONFIRMED+IMPORTANT,GOOD,CONFIRMED,IMPORTANT,FALCON,FALCON,1,4.606364383606964,7.1,8,1.1267605633802817,10,4.606364383606964
24,HIGH+NORMAL+ROUTINE,HIGH,NORMAL,ROUTINE,FALCON,FALCON,1,3.803765108106233,7.1,8,1.4084507042253522,3,3.803765108106233
25,HIGH+NORMAL+IMPORTANT,HIGH,NORMAL,IMPORTANT,FALCON,FALCON,1,3.8139963307463263,7.1,8,1.4084507042253522,3,3.8139963307463263
26,HIGH+CONFIRMING+ROUTINE,HIGH,CONFIRMING,ROUTINE,FALCON,FALCON,1,4.596862791153749,7.1,8,1.4084507042253522,6,4.596862791153749
27,HIGH+CONFIRMING+IMPORTANT,HIGH,CONFIRMING,IMPORTANT,FALCON,FALCON,1,4.598357150032773,7.1,8,1.4084507042253522,6,4.598357150032773
28,HIGH+CONFIRMED+ROUTINE,HIGH,CONFIRMED,ROUTINE,FALCON,FALCON,1,5.01391787916058,7.1,8,1.4084507042253522,10,5.01391787916058
29,HIGH+CONFIRMED+IMPORTANT,HIGH,CONFIRMED,IMPORTANT,FALCON,FALCON,1,5.008687600378863,7.1,8,1.4084507042253522,10,5.008687600378863
